key,en,fr,zh_Hans_CN,ja,ko,zh_TW,ru,pl,es,pt,de,tr,it
EFFECT_FOXLAB_KEEP_RANDOM_WEAPON,Keep a random weapon and gain materials of it's recycling value (ignore items price) when entering a shop,Gardez une arme aléatoire et gagnez des matériaux de sa valeur de recyclage (ignore le prix des objets) en entrant en boutique,进入商店时，随机保留一把武器并获得其回收价值的材料（无视道具价格）,ショップに入る時、ランダムな武器を1つ残し、そのリサイクル価値のマテリアルを獲得する（アイテム価格を無視）,상점 진입 시 무기를 무작위로 하나 유지하고 그 분해 가치만큼의 재료를 획득합니다 (아이템 가격 무시),進入商店時，隨機保留一把武器並獲得其回收價值的素材（無視道具價格）,Оставить случайное оружие и получить материалы в размере его переработочной стоимости (игнорировать цену предметов) при входе в магазин,Zachowaj losową broń i zyskaj materiały o wartości jej recyklingu (ignoruj cenę przedmiotów) przy wejściu do sklepu,Mantén un arma aleatoria y gana materiales de su valor de reciclaje (ignora precio de objetos) al entrar a una tienda,Mantém uma arma aleatória e ganha materiais do seu valor de reciclagem (ignora preço de itens) ao entrar na loja,Behält eine zufällige Waffe und erhält Materialien im Wert ihres Recyclingwerts (Gegenstandspreis ignoriert) beim Betreten eines Ladens,Dükkâna girerken rastgele bir silahı tut ve geri dönüşüm değerinde malzeme kazan (eşya fiyatını yok say),Mantieni un'arma casuale e ottieni materiali del suo valore di riciclaggio (ignora il prezzo degli oggetti) quando entri in un negozio
EFFECT_FOXLAB_STAFF_OFFICER,"When {1} ≧ {5}, {0} is converted into {4} {2} at wave end","Quand {1} ≧ {5}, {0} est converti en {4} {2} à la fin de la vague",敌袭结束时若{1}≧{5}，其中{0}转换为{4}{2},{1}≧{5}の場合、ウェーブ終了時に{0}が{4}{2}に変換される,웨이브 종료 시 {1} >= {5}이면 {0}이(가) {4} {2}(으)로 전환됩니다,敵襲結束時若{1}≧{5}，其中{0}轉換為{4}{2},"Когда {1} ≧ {5}, {0} конвертируется в {4} {2} в конце волны","Gdy {1} >= {5}, {0} jest konwertowane na {4} {2} na końcu fali","Cuando {1} ≧ {5}, {0} se convierte en {4} {2} al final de la oleada","Quando {1} ≧ {5}, {0} é convertido em {4} {2} no final da onda","Wenn {1} ≧ {5}, werden {0} in {4} {2} am Wellenende umgewandelt","Hücum sonunda {1} ≧ {5} olduğunda, {0} {4} {2}'ya dönüştürülür","Quando {1} ≧ {5}, {0} viene convertito in {4} {2} alla fine dell'onda"
CHARACTER_FOXLAB_CULTIVATOR,Cultivator,Cultivateur,修仙者,修仙者,수련자,修仙者,Культист,Kultywator,Cultivador,Cultivador,Kultivator,Yetiştirici,Coltivatore
EFFECT_FOXLAB_CULTIVATOR_UGRADE,"[color=#FF8C00]Cultivation Levels Up[/color] if {1} < {0} at the end of a wave, and you'll:","[color=#FF8C00]La Culture monte de niveau[/color] si {1} < {0} à la fin d'une vague, et vous :",敌袭结束后若{1}＜{0}，[color=#FF8C00]修仙升级[/color]并获得：,ウェーブ終了時に{1}＜{0}の場合、[color=#FF8C00]修仙レベルアップ[/color]し、以下を獲得：,웨이브 종료 시 {1} < {0}이면 [color=#FF8C00]수련 레벨업[/color]하며 다음을 획득합니다:,敵襲結束後若{1}＜{0}，[color=#FF8C00]修仙升級[/color]並獲得：,[color=#FF8C00]Уровень культивации повышается[/color] если {1} < {0} в конце волны и вы:,[color=#FF8C00]Kultywacja Awansuje[/color],"[color=#FF8C00]El Cultivo Sube de Nivel[/color] si {1} < {0} al final de una oleada, y podrás:",[color=#FF8C00]Nível de Cultivação aumenta[/color] se {1} < {0} no final de uma onda e você:,[color=#FF8C00]Kultivation steigt[/color] wenn {1} < {0} am Ende einer Welle und du wirst:,Bir hücum sonunda {1} < {0} ise [color=#FF8C00]Yetiştirme Seviye Atlar[/color] ve şunları yaparsın:,[color=#FF8C00]Livello di Coltivazione aumenta[/color] se {1} < {0} alla fine di un'onda e tu:
EFFECT_FOXLAB_CULTIVATOR_UGRADE_STATS,{1} [color=#FF8C00]Damage[/color]/[color=#FF8C00]% XP Gain[/color]/[color=#FF8C00]Enemy Stat[/color] modifications,{1} modifications de [color=#FF8C00]Dégâts[/color]/[color=#FF8C00]% XP gagnée[/color]/[color=#FF8C00]Stats ennemies[/color],{1} [color=#FF8C00]伤害[/color]/[color=#FF8C00]获得%经验[/color]/[color=#FF8C00]敌人属性[/color]的修改,{1} [color=#FF8C00]ダメージ[/color]/[color=#FF8C00]%経験値獲得[/color]/[color=#FF8C00]敵ステータス[/color]の変動,{1} [color=#FF8C00]피해[/color]/[color=#FF8C00]%경험치 획득[/color]/[color=#FF8C00]적 스탯[/color] 수정치,{1} [color=#FF8C00]傷害[/color]/[color=#FF8C00]獲得%經驗[/color]/[color=#FF8C00]敵人屬性[/color]的修改,{1} модификации [color=#FF8C00]Урона[/color]/[color=#FF8C00]% Получаемого опыта[/color]/[color=#FF8C00]Характеристик врагов[/color],{1} modyfikacje [color=#FF8C00]Obrażeń[/color]/[color=#FF8C00]% Zysku PD[/color]/[color=#FF8C00]Statystyk Wroga[/color],{1} modificaciones de [color=#FF8C00]Daño[/color]/[color=#FF8C00]% Ganancia EXP[/color]/[color=#FF8C00]Estadística de Enemigo[/color],{1} modificações de [color=#FF8C00]Dano[/color]/[color=#FF8C00]% Ganho de XP[/color]/[color=#FF8C00]Stat do Inimigo[/color],{1} [color=#FF8C00]Schaden[/color]/[color=#FF8C00]% EP-Gewinn[/color]/[color=#FF8C00]Feind-Stat[/color]-Modifikationen,{1} [color=#FF8C00]Hasar[/color]/[color=#FF8C00]% XP Kazancı[/color]/[color=#FF8C00]Düşman İstatistiği[/color] değişiklikleri,{1} modifiche a [color=#FF8C00]Danno[/color]/[color=#FF8C00]% Guadagno XP[/color]/[color=#FF8C00]Stat Nemico[/color]
EFFECT_FOXLAB_CULTIVATOR_UGRADE_WEAPON,{0} {1},{0} {1},{0}{1},{0}{1},{0} {1},{0}{1},{0} {1},{0} {1},{0} {1},{0} {1},{0} {1},{0} {1},{0} {1}
FOXLAB_CULTIVATOR_LEVEL,Cultivation Level,Niveau de Culture,修仙等级,修仙レベル,수련 레벨,修仙等級,Уровень культивации,Poziom Kultywacji,Nivel de Cultivo,Nível de Cultivação,Kultivations-Stufe,Yetiştirme Seviyesi,Livello di Coltivazione
EFFECT_FOXLAB_REVERSE_NEG_CURSE,{1} x{4} if it's negative halfway through a wave,{1} x{4} si négatif à mi-vague,敌袭中途若{1}＜0则暂时乘以{4},ウェーブ途中で{1}＜0の場合、一時的に{4}倍になる,웨이브 중반에 {1}이(가) 음수이면 일시적으로 {4} 배,敵襲中途若{1}＜0則暫時乘以{4},{1} x{4} если отрицательное на середине волны,{1} x{4},{1} x{4} si es negativo a mitad de una oleada,{1} x{4} se for negativo no meio de uma onda,{1} x{4} wenn es negativ ist zur Halbzeit einer Welle,Negatifse hücum yarılanında {1} x{4},{1} x{4} se è negativo a metà di un'onda
CHARACTER_FOXLAB_SHOPAHOLIC,Shopaholic,Acheteur compulsif,购物狂,ショッパホリック,쇼핑광,購物狂,Шопоголик,Zakupoholik,Comprador Compulsivo,Comprador Compulsivo,Kaufsüchtiger,Alışveriş Düşkünü,Shopping Dipendente
FOXLAB_SHOP_POINT,Point,Points,积分,ポイント,포인트,積分,Очки,Punkty,Puntos,Pontos,Punkte,Puan,Punti
FOXLAB_SHOP_VIP,VIP Level,Niveau VIP,会员等级,会員レベル,VIP 레벨,會員等級,Уровень VIP,Poziom VIP,Nivel VIP,Nível VIP,VIP-Stufe,VIP Seviyesi,Livello VIP
DIFFERENT_ITEM,Different Items,Objets différents,异种道具,異種アイテム,서로 다른 아이템,異種道具,Разные предметы,Różne Przedmioty,Objetos Diferentes,Itens Diferentes,Verschiedene Gegenstände,Farklı Eşyalar,Oggetti Diversos
DUPLICATE_ITEM,Duplicates,Doublons,复制品,複製品,중복품,複製品,Дубликаты,Duplikaty,Duplicados,Duplicatas,Duplikate,Kopyalar,Duplicati
EFFECT_FOXLAB_GAIN_STAT_FOR_EQUIPPED_ITEM_WITH_STAT,{0} {1} when getting an item that [color=#FF8C00]literally[/color] {3},{0} {1} en obtenant un objet qui [color=#FF8C00]littéralement[/color] {3},每获得[color=#FF8C00]直接[/color]{3}的道具有{0}{1},[color=#FF8C00]直接的に[/color]{3}するアイテムを獲得するごとに{0}{1},[color=#FF8C00]직접적으로[/color] {3}하는 아이템을 획득할 때마다 {0} {1},每獲得[color=#FF8C00]直接[/color]{3}的道具有{0}{1},{0} {1} при получении предмета который [color=#FF8C00]буквально[/color] {3},{0} {1} po zdobyciu przedmiotu,{0} {1} al obtener un objeto que [color=#FF8C00]literalmente[/color] {3},{0} {1} ao obter um item que [color=#FF8C00]literalmente[/color] {3},{0} {1} beim Erhalt eines Gegenstands der [color=#FF8C00]buchstäblich[/color] {3},[color=#FF8C00]doğrudan[/color] {3} olan bir eşya aldığında {0} {1},{0} {1} quando ottieni un oggetto che [color=#FF8C00]letteralmente[/color] {3}
EFFECT_FOXLAB_SHOPAHOLIC,"VIP levels up when {1} ≧ {0} at wave end, then {2} {3}, {4} {5}","Le VIP monte de niveau quand {1} ≧ {0} à la fin de la vague, puis {2} {3}, {4} {5}",敌袭结束{1}≧{0}时会员升级，{2}{3}、{4}{5},ウェーブ終了時に{1}≧{0}で会員レベルアップ、その後{2}{3}、{4}{5},웨이브 종료 시 {1} >= {0}이면 VIP 레벨업,敵襲結束{1}≧{0}時會員升級，{2}{3}、{4}{5},"VIP повышается когда {1} ≧ {0} в конце волны, затем {2} {3}, {4} {5}","VIP awansuje, gdy {1} >= {0} na końcu fali, następnie {2} {3}, {4} {5}","El nivel VIP sube cuando {1} ≧ {0} al final de la oleada, luego {2} {3}, {4} {5}",Nível VIP sobe quando {1} ≧ {0} no final da onda então {2} {3} {4} {5},"VIP steigt wenn {1} ≧ {0} am Wellenende, dann {2} {3}, {4} {5}","Hücum sonunda {1} ≧ {0} olduğunda VIP seviye atlar, ardından {2} {3}, {4} {5}",Il livello VIP sale quando {1} ≧ {0} alla fine dell'onda poi {2} {3} {4} {5}
CHARACTER_FOXLAB_SCHRODINGERS_CAT,Schrödinger's Cat,Chat de Schrödinger,薛定谔的猫,シュレーディンガーの猫,슈뢰딩거의 고양이,薛丁格的貓,Кот Шрёдингера,Kot Schrödingera,Gato de Schrödinger,Gato de Schrödinger,Schrödingers Katze,Schrödinger'in Kedisi,Gatto di Schrödinger
EFFECT_FOXLAB_CAT_SHOP_EFFECT,"When entering a shop: {0} chance of stealing {1} ~ {2} items; {3} chance of disabling item locking, items locked before are [color=#FF8C00]still locked[/color] after bought; {4} chance of disabling weapon upgrade and recycle.","En entrant dans un magasin : {0} chance de voler {1} à {2} fois ; {3} chance de désactiver le verrouillage, les objets verrouillés auparavant sont [color=#FF8C00]toujours verrouillés[/color] après achat ; {4} chance de désactiver la mise à niveau et le recyclage des armes.",进入商店时：有{0}几率窃取{1}到{2}次；有{3}几率无法锁定，此前锁定的物品购买后[color=#FF8C00]仍被锁定[/color]；有{4}几率无法回收或升级武器。,ショップに入る時：{0}の確率で{1}～{2}個を盗む；{3}の確率でロック不可、以前ロックされたアイテムは購入後も[color=#FF8C00]ロックされたまま[/color]；{4}の確率で武器のアップグレードとリサイクル不可。,"상점에 들어갈 때: {0} 확률로 {1}~{2}개를 훔침; {3} 확률로 잠금 불가, 이전에 잠긴 아이템은 구매 후에도 [color=#FF8C00]여전히 잠겨 있음[/color]; {4} 확률로 무기 업그레이드 및 재활용 불가.",進入商店時：有{0}機率竊取{1}到{2}次；有{3}機率無法鎖定，此前鎖定的物品購買後[color=#FF8C00]仍被鎖定[/color]；有{4}機率無法回收或升級武器。,"При входе в магазин: шанс {0} украсть {1} ~ {2} предметов; шанс {3} отключить блокировку, ранее заблокированные предметы [color=#FF8C00]остаются заблокированными[/color] после покупки; шанс {4} отключить улучшение и переработку оружия.","Przy wejściu do sklepu: szansa {0} na kradzież {1} ~ {2} przedmiotów; szansa {3} na wyłączenie blokowania, wcześniej zablokowane przedmioty są [color=#FF8C00]nadal zablokowane[/color] po zakupie; szansa {4} na wyłączenie ulepszania i recyklingu broni.","Al entrar en una tienda: {0} probabilidad de robar {1} ~ {2} objetos; {3} probabilidad de desactivar el bloqueo, los objetos bloqueados antes [color=#FF8C00]siguen bloqueados[/color] después de comprarlos; {4} probabilidad de desactivar la mejora y el reciclaje de armas.","Ao entrar numa loja: {0} chance de roubar {1} ~ {2} itens; {3} chance de desativar o bloqueio, itens bloqueados antes [color=#FF8C00]continuam bloqueados[/color] após a compra; {4} chance de desativar o upgrade e a reciclagem de armas.","Beim Betreten eines Ladens: {0} Chance, {1} ~ {2} Gegenstände zu stehlen; {3} Chance, Sperren zu deaktivieren, zuvor gesperrte Gegenstände sind [color=#FF8C00]weiterhin gesperrt[/color] nach dem Kauf; {4} Chance, Waffenupgrade und Recycling zu deaktivieren.","Dükkana girerken: {0} şansla {1} ~ {2} eşya çalma; {3} şansla kilitlemeyi devre dışı bırakma, önceden kilitlenmiş eşyalar satın alındıktan sonra [color=#FF8C00]hala kilitli[/color]; {4} şansla silah yükseltme ve geri dönüşümü devre dışı bırakma.","Entrando in un negozio: {0} probabilità di rubare {1} ~ {2} oggetti; {3} probabilità di disattivare il blocco, gli oggetti bloccati prima [color=#FF8C00]rimangono bloccati[/color] dopo l'acquisto; {4} probabilità di disattivare l'upgrade e il riciclaggio delle armi."
EFFECT_FOXLAB_CAT_WAVE_EFFECT,Randomly enable {1} or {2} during a wave,Active aléatoirement {1} ou {2} pendant une vague,敌袭过程可能{1}或{2},ウェーブ中にランダムで{1}または{2}が発動する,웨이브 중 무작위로 {1} 또는 {2} 활성화,敵襲過程可能{1}或{2},Случайно включает {1} или {2} во время волны,Losowo aktywuje {1} lub {2} podczas fali,Activa aleatoriamente {1} o {2} durante una oleada,Ativa aleatoriamente {1} ou {2} durante uma onda,Zufällig {1} oder {2} während einer Welle aktivieren,Bir hücum sırasında rastgele {1} veya {2} etkinleşir,Attiva casualmente {1} o {2} durante un'onda
EFFECT_FOXLAB_CAT_ITEMS_PRICE,Negative {1} is reset to 0 at the and of a wave,Le {1} négatif est réinitialisé à 0 à la fin d'une vague,负{1}敌袭结束后置为0,マイナスの{1}はウェーブ終了時に0にリセットされる,음수의 {1}은(는) 웨이브 종료 시 0으로 초기화됩니다,負{1}敵襲結束後置為0,Отрицательные {1} сбрасываются до 0 в конце волны,Ujemne {1} jest resetowane do 0 na końcu fali,{1} negativo se reinicia a 0 al final de una oleada,{1} negativo é redefinido para 0 no final de uma onda,Negative {1} werden am Ende einer Welle auf 0 zurückgesetzt,"Negatif {1}, bir hücum sonunda 0'a sıfırlanır",{1} negativo viene azzerato alla fine di un'onda
FOXLAB_CAT_DUPLICATE_ITEM,Duplicates,Doublons,复制品,複製品,중복품,複製品,Дубликаты,Duplikaty,Duplicados,Duplicatas,Duplikate,Kopyalar,Duplicati
CHARACTER_FOXLAB_BLOODY_WOLF,Bloody Wolf,Loup Sanguinaire,嗜血独狼,ブラッディウルフ,핏빛 늑대,嗜血獨狼,Кровавый волк-одиночка,Krwawy Wilk,Lobo Sangriento,Lobo Sanguinário,Blutiger Wolf,Kanlı Kurt,Lupo Sanguinario
ITEM_FOXLAB_INNER_INDOMITABLE,Inner Indomitable,Os indomptable,狂骨,狂骨,광골,狂骨,Неукротимый дух,Wewnętrzna Niezłomność,Hueso Salvaje,Ossos Indomáveis,Innerer Unbezwingbarer,İç Yenilmez,Ossa Indomita
EFFECT_FOXLAB_INCREASE_MATERIAL_VALUE,Picked up materials have {0} value (rounded up),Les matériaux ramassés ont une valeur de {0} (arrondi supérieur),捡起的材料有{0}价值（向上取整）,拾ったマテリアルの価値が{0}になる（切り上げ）,주운 재료의 가치가 {0}입니다 (올림),撿起的素材有{0}價值（向上取整）,Подобранные материалы имеют ценность {0} (округление вверх),Podniesione materiały mają wartość {0} (zaokrąglone w górę),Los materiales recogidos tienen valor de {0} (redondeado hacia arriba),Materiais coletados têm valor {0} (arredondado para cima),Aufgehobene Materialien haben {0} Wert (aufgerundet),Alınan malzemelerin {0} değeri var (yukarı yuvarlanır),I materiali raccolti hanno valore {0} (arrotondato per eccesso)
EFFECT_FOXLAB_HEAL_WHEN_KILL_NEARBY,"{2} chance to heal 1 HP when killing an enemy within range {0}({1}), if the healing fails, you gain 1 material","{2} de chances de récupérer 1 PV en tuant un ennemi dans un rayon de {0} ({1}), si la guérison échoue, vous gagnez 1 matériau",杀死距离{0}（{1}）以内的敌人时，你有{2}概率恢复一点生命值，如果没有恢复则获得一个材料,範囲{0}({1})以内の敵を倒した時、{2}の確率でHPを1回復する。回復に失敗した場合はマテリアルを1つ獲得する,"범위 {0}({1}) 내의 적을 처치할 때 {2} 확률로 체력 1을 회복하고, 회복에 실패하면 재료 1개를 얻습니다",殺死距離{0}（{1}）以內的敵人時，你有{2}機率恢復一點生命值，如果沒有恢復則獲得一個素材,"{2} шанс восстановить 1 HP при убийстве врага в радиусе {0}({1}), если восстановление не удается, вы получаете 1 материал","{2} szansy na wyleczenie 1 HP podczas zabijania wroga w zasięgu {0}({1}), jeśli leczenie się nie powiedzie, zyskujesz 1 materiał","{2} de probabilidad de curar 1 HP al matar a un enemigo dentro del rango {0}({1}), si la cura falla, obtienes 1 material","{2} de chance de curar 1 HP ao matar um inimigo dentro do alcance {0}({1}), se a cura falhar, você ganha 1 material","{2} Chance, 1 HP zu heilen, wenn du einen Feind innerhalb der Reichweite {0}({1}) tötest. Wenn die Heilung fehlschlägt, erhältst du 1 Material","Menzil {0}({1}) içindeki bir düşmanı öldürürken {2} iyileşme şansı, iyileşme başarısız olursa 1 malzeme kazanırsınız","{2} possibilità di curare 1 HP quando uccidi un nemico nel raggio {0}({1}), se la cura fallisce, ottieni 1 materiale"
EFFECT_FOXLAB_NO_DODGE,You can't dodge,Vous ne pouvez pas esquiver,你无法闪避,回避できない,회피할 수 없습니다,你無法迴避,Вы не можете уклоняться,Nie możesz unikać,No puedes esquivar,Você não pode esquivar,Du kannst nicht ausweichen,Kaçamazsın,Non puoi schivare
FOXLAB_ENEMIES_KILLED,Enemies killed: {0},Ennemis tués : {0},已杀敌：{0},敵撃破数：{0},처치한 적: {0},已殺敵：{0},Врагов убито: {0},Zabici wrogowie: {0},Enemigos asesinados: {0},Inimigos mortos: {0},Getötete Feinde: {0},Öldürülen düşmanlar: {0},Nemici uccisi: {0}
EFFECT_FOXLAB_GAIN_STAT_EVERY_KILLED_ENEMIES,{0} {1} for every {2} kills each wave,{0} {1} toutes les {2} victimes par vague,每波每{2}击杀有{0}{1},毎ウェーブで{2}キルごとに{0}{1},매 웨이브마다 {2} 처치 시 {0}{1} 획득,每波每{2}擊殺有{0}{1},{0} {1} каждые {2} убийств за волну,{0} {1} co każde {2} zabójstw w każdej fali,{0} {1} cada {2} muertes por oleada,{0} {1} a cada {2} mortes por onda,{0} {1} alle {2} Kills pro Welle,Her dalgada her {2} öldürme başına {0} {1},{0} {1} ogni {2} uccisioni per ondata
EFFECT_FOXLAB_GAIN_STAT_EVERY_KILLED_ENEMIES_LIMITED,{0} {1} for every {2} kills each wave (max {3}),{0} {1} toutes les {2} victimes par vague (max {3}),每波每{2}击杀有{0}{1}（上限：{3}）,毎ウェーブで{2}キルごとに{0}{1}（上限：{3}）,매 웨이브마다 {2} 처치 시 {0}{1} 획득 (최대 {3}),每波每{2}擊殺有{0}{1}（上限：{3}）,{0} {1} каждые {2} убийств за волну (макс. {3}),{0} {1} co każde {2} zabójstw w każdej fali (maks. {3}),{0} {1} cada {2} muertes por oleada (máx. {3}),{0} {1} a cada {2} mortes por onda (máx. {3}),{0} {1} alle {2} Kills pro Welle (max. {3}),Her dalgada her {2} öldürme başına {0} {1} (maks. {3}),{0} {1} ogni {2} uccisioni per ondata (max {3})
EFFECT_FOXLAB_GAIN_STAT_EVERY_KILLED_BOSSES,{0} {1} for every {2} Bosses killed each wave,{0} {1} pour chaque {2} boss tués par vague,每波每击杀{2}个头目有{0}{1},毎ウェーブで{2}体のボスを倒すごとに{0}{1},매 웨이브마다 {2}마리의 보스를 처치하면 {0}{1} 획득,每波每擊殺{2}個頭目獲得{0}{1},{0} {1} за каждые {2} убитых боссов за волну,{0} {1} za każde {2} zabitych bossów w każdej fali,{0} {1} por cada {2} jefes asesinados por oleada,{0} {1} a cada {2} chefes mortos por onda,{0} {1} für je {2} getötete Bosse pro Welle,Her dalgada her {2} patron öldürme başına {0} {1},{0} {1} ogni {2} boss uccisi per ondata
CHARACTER_FOXLAB_VENOM,Venom,Venin,蛊泳者,ヴェノム,베놈,蠱泳者,Веном,Jad,Veneno,Veneno,Gift,Zehir,Veleno
EFFECT_FOXLAB_FAST_ON_HIT,Enemy is accelerated {0} if hit,L'ennemi est accéléré de {0} s'il est touché,击中敌人使其加速{0},攻撃が当たると敵の速度が{0}上昇,적이 맞으면 가속도 {0} 증가,擊中敵人使其加速{0},Враг ускоряется на {0} при попадании,Wróg przyspiesza o {0} po trafieniu,El enemigo es acelerado {0} si es golpeado,O inimigo é acelerado em {0} se for atingido,"Der Feind wird um {0} beschleunigt, wenn er getroffen wird",Vurulursa düşman {0} hızlanır,Il nemico viene accelerato di {0} se colpito
EFFECT_FOXLAB_BONUS_DAMAGE_VIA_HEALTH,"{0} {1} against full health targets, {2} {1} for every {2} health it loses","{0} {1} contre les cibles à pleine vie, {2} {1} pour chaque {2} points de vie perdus",对满血目标造成{0}{1}，目标每{2}生命值则{2}{1},満体力のターゲットに対して{0}{1}、失った体力{2}ごとに{2}{1},"체력이 가득한 대상에게 {0}{1} 피해, 체력이 {2} 잃을 때마다 {2}{1} 추가 피해",對滿血目標造成{0}{1}，目標每失去{2}生命值則{2}{1},"{0} {1} против целей с полным здоровьем, {2} {1} за каждые {2} потерянного здоровья","{0} {1} przeciwko celom z pełnym zdrowiem, {2} {1} za każde {2} utraconego zdrowia","{0} {1} contra objetivos con vida completa, {2} {1} por cada {2} de vida que pierda","{0} {1} contra alvos com vida cheia, {2} {1} para cada {2} de vida perdida","{0} {1} gegen Ziele mit vollem Leben, {2} {1} für jede verlorene {2} Gesundheit","Tam canlı hedeflere karşı {0} {1}, kaybettiği her {2} can için {2} {1}","{0} {1} contro bersagli a piena salute, {2} {1} per ogni {2} salute persa"
GAIN_ENEMY_DAMAGE,% [color=#FF8C00]% Enemy Damage[/color] Modification,Modification de % [color=#FF8C00]% Dégâts ennemis[/color],% [color=#FF8C00]%敌人伤害[/color]的修改,% [color=#FF8C00]%敵ダメージ[/color]の変動,% [color=#FF8C00]%적 대미지[/color] 수정치,% [color=#FF8C00]%敵人傷害[/color]的修改,% Модификация [color=#FF8C00]% Урона врагов[/color],% Modyfikacja [color=#FF8C00]% Obrażeń Wrogów[/color],% Modificación de [color=#FF8C00]% Daño de Enemigo[/color],% Modificação de [color=#FF8C00]% Dano do Inimigo[/color],% [color=#FF8C00]% Gegnerschaden[/color]-Modifikation,% [color=#FF8C00]% Düşman Hasarı[/color] Değişikliği,% Modifica [color=#FF8C00]% Danno Nemico[/color]
CHARACTER_FOXLAB_OUROBOROS,Ouroboros,Ouroboros,衔尾蛇,ウロボロス,우로보로스,銜尾蛇,Уроборос,Uroboros,Ouroboros,Ouroboros,Ouroboros,Ouroboros,Ouroboros
ITEM_FOXLAB_TICK_TOCK,Tick Tock,Tick Tock,往复,ティックトック,왕복,往復,Тик Так,Tyk-Tak,Tick Tock,Tick Tock,Tick Tack,Tik Tak,Tick Tock
ITEM_FOXLAB_TOCK_TICK,Tock Tick,Tock Tick,复往,トックティック,복왕,復往,Так Тик,Tak-Tyk,Tock Tick,Tock Tick,Tack Tick,Tak Tik,Tock Tick
EFFECT_FOXLAB_ITEM_START_WAVE,Get {2} {1} at the start of waves,Gagnez {2} {1} au début des vagues,敌袭开始时获得{2}{1},ウェーブ開始時に{2}{1}を獲得する,웨이브 시작 시 {2} {1} 획득,敵襲開始時獲得{2}{1},Получить {2} {1} в начале волн,Zyskujesz {2} {1} na początku fal,Obtén {2} {1} al inicio de las oleadas,Obtém {2} {1} no início das ondas,Erhalte {2} {1} zu Beginn von Wellen,Hücumların başında {2} {1} al,Ottieni {2} {1} all'inizio delle onde
STAT_LEVELS,Current Level,Niveau actuel,目前等级,現在のレベル,현재 레벨,目前的關卡,Текущий уровень,Aktualny poziom,Nivel actual,Nível atual,Aktuelles Level,Mevcut Seviye,Livello attuale
EFFECT_FOXLAB_STARTING_ITEM_LIMITED,You start with {0} {1} (stop working at wave {2}),Vous commencez avec {0} {1} (cesse à la vague {2}),初始拥有{0}{1}（第{2}波结束后失效）,{0}{1}で開始（ウェーブ{2}終了後に無効化）,시작 시 {0} {1} 보유 (웨이브 {2} 종료 후 효과 상실),初始擁有{0}{1}（第{2}波結束後失效）,Вы начинаете с {0} {1} (перестаёт работать на волне {2}),Zaczynasz z {0} {1} (przestaje działać po fali {2}),Comienzas con {0} {1} (deja de funcionar en la oleada {2}),Você começa com {0} {1} (para de funcionar na onda {2}),Du startest mit {0} {1} (funktioniert nicht mehr ab Welle {2}),{0} {1} ile başlarsın ({2}. dalgada çalışmayı bırakır),Inizi con {0} {1} (smette di funzionare all'onda {2})
EFFECT_FOXLAB_TICK_TOCK,Move upward digits in [color=#FF8C00]Primary[/color] and [color=#FF8C00]Secondary[/color] stat panel when you get this item (Top row goes to bottom),Déplace vers le haut les chiffres du panneau de stats [color=#FF8C00]Principales[/color] et [color=#FF8C00]Secondaires[/color] quand vous obtenez cet objet (la ligne du haut passe en bas),获得此道具后，[color=#FF8C00]主要[/color]和[color=#FF8C00]次要[/color]属性面板的数值会分别整体[color=#FF8C00]上移[/color]一行（顶行属性会转到底行）,このアイテムを獲得した時、[color=#FF8C00]プライマリ[/color]と[color=#FF8C00]セカンダリ[/color]ステータスパネルの数値がそれぞれ全体に1行[color=#FF8C00]上に[/color]移動する（最上行は最下行へ）,이 아이템을 획득하면 [color=#FF8C00]주요[/color] 및 [color=#FF8C00]보조[/color] 스탯 패널의 수치가 각각 전체적으로 [color=#FF8C00]위로[/color] 한 줄 이동합니다 (맨 윗줄은 맨 아랫줄로),獲得此道具後，[color=#FF8C00]主要[/color]和[color=#FF8C00]次要[/color]屬性面板的數值會分別整體[color=#FF8C00]上移[/color]一行（頂行屬性會轉到底行）,Сдвигает цифры вверх на панели [color=#FF8C00]Основных[/color] и [color=#FF8C00]Второстепенных[/color] характеристик при получении этого предмета (Верхняя строка переходит вниз),Przesuń w górę cyfry w panelu statystyk [color=#FF8C00]Głównych[/color] i [color=#FF8C00]Drugorzędnych[/color] po zdobyciu tego przedmiotu (Górny wiersz przechodzi na dół),Mueve hacia arriba los dígitos en el panel de estadísticas [color=#FF8C00]Primarias[/color] y [color=#FF8C00]Secundarias[/color] al obtener este objeto (La fila superior va a la inferior),Move os dígitos para cima no painel de stats [color=#FF8C00]Primários[/color] e [color=#FF8C00]Secundários[/color] ao obter este item (Linha superior vai para baixo),Ziffern im [color=#FF8C00]Primär[/color]- und [color=#FF8C00]Sekundär[/color]-Stat-Panel nach oben verschieben wenn du diesen Gegenstand erhältst (Oberste Zeile geht nach unten),Bu eşyayı aldığında [color=#FF8C00]Birincil[/color] ve [color=#FF8C00]İkincil[/color] istatistik panelindeki rakamlar yukarı kayar (Üst satır en alt satıra gider),Sposta le cifre verso l'alto nel pannello delle statistiche [color=#FF8C00]Primarie[/color] e [color=#FF8C00]Secondarie[/color] quando ottieni questo oggetto (la riga superiore va in fondo)
